iter	Passed	Remaining
0	148	148352
1	150	75334
2	152	50706
3	154	38519
4	156	31130
5	157	26163
6	159	22634
7	161	19999
8	162	17931
9	164	16271
10	165	14917
11	167	13787
12	168	12823
13	170	12022
14	172	11333
15	173	10696
16	175	10147
17	177	9661
18	178	9216
19	179	8812
20	181	8453
21	182	8124
22	184	7824
23	185	7549
24	187	7303
25	188	7071
26	190	6855
27	191	6659
28	193	6477
29	194	6303
30	197	6160
31	198	6002
32	199	5857
33	201	5720
34	202	5592
35	204	5470
36	205	5355
37	207	5258
38	209	5153
39	210	5055
40	212	4960
41	213	4872
42	215	4785
43	216	4707
44	219	4667
45	222	4616
46	224	4549
47	225	4477
48	227	4414
49	229	4365
50	231	4306
51	233	4251
52	234	4195
53	236	4142
54	238	4101
55	242	4084
56	244	4038
57	246	3996
58	247	3951
59	249	3911
60	252	3886
61	254	3845
62	256	3811
63	257	3769
64	259	3735
65	261	3698
66	263	3670
67	264	3627
68	266	3597
69	268	3565
70	270	3536
71	272	3506
72	273	3474
73	275	3442
74	277	3417
75	278	3390
76	280	3361
77	281	3333
78	283	3310
79	285	3282
80	287	3256
81	289	3237
82	290	3209
83	292	3187
84	293	3162
85	295	3138
86	296	3109
87	297	3087
88	299	3068
89	301	3047
90	302	3025
91	304	3005
92	305	2983
93	307	2961
94	308	2941
95	310	2925
96	312	2907
97	314	2892
98	315	2874
99	317	2858
100	318	2839
101	319	2815
102	321	2798
103	322	2780
104	324	2762
105	325	2746
106	327	2731
107	328	2716
108	330	2701
109	332	2687
110	333	2673
111	335	2660
112	337	2647
113	339	2638
114	341	2627
115	342	2611
116	344	2601
117	346	2589
118	348	2579
119	349	2565
120	351	2553
121	354	2548
122	355	2532
123	356	2519
124	358	2510
125	360	2500
126	362	2493
127	364	2484
128	366	2474
129	368	2464
130	370	2458
131	372	2448
132	373	2438
133	379	2451
134	381	2444
135	383	2436
136	385	2425
137	386	2413
138	387	2403
139	389	2392
140	391	2383
141	393	2374
142	394	2365
143	401	2386
144	403	2377
145	406	2376
146	410	2384
147	416	2396
148	420	2398
149	421	2390
150	425	2391
151	429	2395
152	430	2385
153	435	2393
154	440	2399
155	442	2396
156	446	2394
157	448	2389
158	449	2378
159	451	2370
160	453	2361
161	455	2354
162	456	2345
163	458	2336
164	460	2328
165	461	2319
166	463	2310
167	464	2301
168	466	2294
169	468	2286
170	470	2278
171	472	2275
172	474	2267
173	476	2264
174	478	2257
175	480	2249
176	482	2241
177	483	2234
178	485	2226
179	486	2217
180	487	2206
181	489	2199
182	490	2191
183	492	2183
184	494	2176
185	495	2167
186	496	2159
187	498	2152
188	500	2145
189	501	2139
190	503	2132
191	506	2130
192	508	2126
193	510	2120
194	512	2114
195	515	2113
196	516	2106
197	519	2103
198	521	2099
199	523	2093
200	524	2086
201	526	2080
202	527	2072
203	529	2065
204	530	2058
205	533	2054
206	534	2047
207	536	2041
208	537	2035
209	539	2029
210	541	2022
211	542	2017
212	544	2010
213	545	2004
214	547	1998
215	548	1992
216	550	1986
217	551	1980
218	553	1974
219	555	1968
220	556	1961
221	557	1955
222	559	1949
223	561	1944
224	562	1938
