iter	Passed	Remaining
0	157	157398
1	159	79509
2	161	53585
3	162	40566
4	164	32743
5	165	27484
6	167	23819
7	169	21017
8	171	18836
9	172	17090
10	174	15686
11	176	14491
12	177	13494
13	179	12629
14	180	11884
15	182	11224
16	184	10647
17	185	10124
18	187	9662
19	188	9237
20	190	8862
21	191	8520
22	193	8209
23	194	7929
24	196	7664
25	198	7434
26	199	7207
27	201	6993
28	202	6795
29	204	6610
30	206	6445
31	207	6286
32	209	6131
33	210	5984
34	212	5849
35	214	5746
36	216	5627
37	218	5521
38	219	5412
39	221	5308
40	222	5209
41	224	5118
42	226	5032
43	227	4944
44	228	4857
45	230	4779
46	233	4730
47	234	4659
48	236	4597
49	238	4536
50	240	4475
51	241	4411
52	243	4351
53	245	4292
54	246	4234
55	248	4181
56	249	4132
57	251	4079
58	252	4029
59	254	3981
60	256	3944
61	258	3903
62	259	3860
63	261	3817
64	262	3776
65	264	3739
66	265	3699
67	267	3662
68	268	3628
69	270	3595
70	272	3561
71	273	3529
72	275	3495
73	276	3463
74	278	3433
75	281	3422
76	283	3399
77	285	3372
78	287	3348
79	288	3322
80	290	3294
81	291	3267
82	292	3234
83	294	3210
84	296	3186
85	298	3171
86	300	3158
87	302	3136
88	304	3115
89	306	3101
90	308	3081
91	310	3069
92	313	3055
93	314	3035
94	316	3013
95	318	3000
96	320	2980
97	321	2961
98	323	2943
99	325	2926
100	328	2927
101	332	2930
102	334	2913
103	336	2897
104	337	2880
105	339	2864
106	347	2896
107	348	2880
108	350	2863
109	351	2846
110	353	2831
111	356	2829
112	358	2816
113	360	2804
114	362	2790
115	364	2780
116	366	2766
117	369	2764
118	371	2749
119	372	2734
120	374	2719
121	375	2702
122	377	2689
123	378	2674
124	380	2660
125	382	2652
126	383	2637
127	385	2623
128	386	2610
129	388	2598
130	389	2585
131	391	2573
132	392	2561
133	394	2550
134	396	2538
135	397	2527
136	399	2516
137	401	2507
138	402	2496
139	404	2486
140	406	2476
141	407	2462
142	409	2451
143	410	2440
144	412	2432
145	414	2421
146	415	2410
147	416	2399
148	418	2390
149	420	2380
150	421	2370
151	422	2359
152	425	2353
153	426	2343
154	428	2335
155	430	2328
156	432	2320
157	433	2311
158	435	2302
159	437	2294
160	438	2282
161	439	2273
162	441	2264
163	442	2257
164	444	2247
165	445	2238
166	447	2229
167	448	2220
168	450	2212
169	451	2203
170	453	2196
171	454	2189
172	457	2185
173	458	2177
174	460	2169
175	461	2162
176	463	2154
177	464	2146
178	468	2146
179	469	2139
180	471	2132
181	473	2127
182	474	2119
183	476	2111
184	477	2103
185	479	2096
186	480	2090
187	482	2083
188	483	2075
189	485	2068
190	486	2061
191	488	2054
192	489	2046
193	491	2040
194	492	2033
195	494	2027
196	495	2020
197	497	2013
198	498	2007
199	500	2000
200	501	1994
201	502	1986
202	504	1980
203	505	1973
204	507	1967
205	508	1960
206	510	1954
207	511	1948
208	513	1942
209	514	1936
210	516	1930
211	517	1924
212	519	1919
213	520	1913
214	522	1907
215	524	1902
216	525	1896
217	526	1890
218	528	1884
219	529	1878
220	531	1872
221	532	1866
222	533	1860
223	535	1855
224	536	1849
225	538	1843
226	539	1838
227	541	1832
228	542	1827
229	544	1821
230	545	1816
231	546	1810
232	548	1805
233	549	1800
234	551	1794
235	552	1789
236	554	1784
237	555	1778
238	556	1772
239	558	1767
240	559	1762
241	561	1757
242	562	1752
243	564	1747
244	565	1742
245	567	1738
246	568	1733
247	570	1728
248	571	1723
249	572	1718
250	574	1713
251	575	1708
252	576	1703
253	578	1698
254	579	1694
255	581	1689
256	582	1684
257	584	1679
258	585	1675
259	586	1670
260	588	1665
261	589	1660
262	591	1656
263	592	1651
264	593	1647
265	595	1643
266	597	1640
267	598	1635
268	600	1630
269	601	1626
270	603	1622
271	604	1619
272	606	1615
273	607	1610
274	609	1607
275	611	1603
276	612	1599
277	614	1595
278	616	1592
279	617	1588
280	619	1585
281	621	1581
282	622	1577
283	624	1573
284	625	1569
285	627	1566
286	629	1562
287	630	1558
288	631	1554
289	633	1551
290	635	1547
291	636	1543
292	638	1539
293	639	1536
294	641	1532
295	642	1528
296	644	1524
297	645	1520
298	647	1516
299	648	1514
300	650	1510
301	652	1507
302	653	1503
303	655	1499
304	656	1495
305	657	1491
306	659	1488
307	661	1485
308	662	1481
309	663	1477
310	665	1474
311	666	1470
312	668	1466
313	669	1463
314	671	1460
315	672	1456
316	674	1452
317	675	1449
318	677	1445
319	678	1442
320	680	1439
321	681	1435
322	682	1431
323	684	1428
324	685	1424
325	687	1420
326	688	1417
327	690	1414
328	692	1411
329	693	1407
330	694	1403
331	695	1399
